datetime,count
2011-01-20 00:00:00,13.79
2011-01-20 01:00:00,6.33
2011-01-20 02:00:00,6.6
2011-01-20 03:00:00,3.71
2011-01-20 04:00:00,2.77
2011-01-20 05:00:00,16.3
2011-01-20 06:00:00,54.35
2011-01-20 07:00:00,152.37
2011-01-20 08:00:00,285.25
2011-01-20 09:00:00,168.96
2011-01-20 10:00:00,116.78
2011-01-20 11:00:00,124.12
2011-01-20 12:00:00,161.88
2011-01-20 13:00:00,140.29
2011-01-20 14:00:00,146.1
2011-01-20 15:00:00,156.17
2011-01-20 16:00:00,150.04
2011-01-20 17:00:00,242.17
2011-01-20 18:00:00,208.9
2011-01-20 19:00:00,213.84
2011-01-20 20:00:00,112.76
2011-01-20 21:00:00,84.69
2011-01-20 22:00:00,62.11
2011-01-20 23:00:00,39.83
2011-01-21 00:00:00,14.23
2011-01-21 01:00:00,6.55
2011-01-21 02:00:00,5.66
2011-01-21 03:00:00,3.27
2011-01-21 04:00:00,2.82
2011-01-21 05:00:00,12.49
2011-01-21 06:00:00,49.87
2011-01-21 07:00:00,135.31
2011-01-21 08:00:00,230.75
2011-01-21 09:00:00,149.88
2011-01-21 10:00:00,113.96
2011-01-21 11:00:00,115.73
2011-01-21 12:00:00,118.07
2011-01-21 13:00:00,120.33
2011-01-21 14:00:00,121.47
2011-01-21 15:00:00,121.38
2011-01-21 16:00:00,126.57
2011-01-21 17:00:00,199.85
2011-01-21 18:00:00,187.37
2011-01-21 19:00:00,182.58
2011-01-21 20:00:00,128.65
2011-01-21 21:00:00,82.76
2011-01-21 22:00:00,51.21
2011-01-21 23:00:00,29.65
2011-01-22 00:00:00,35.58
2011-01-22 01:00:00,29.15
2011-01-22 02:00:00,35.17
2011-01-22 03:00:00,16.65
2011-01-22 04:00:00,3.37
2011-01-22 06:00:00,6.88
2011-01-22 07:00:00,32.48
2011-01-22 08:00:00,62.65
2011-01-22 09:00:00,83.49
2011-01-22 10:00:00,109.75
2011-01-22 11:00:00,112.73
2011-01-22 12:00:00,114.84
2011-01-22 13:00:00,130.44
2011-01-22 14:00:00,127.73
2011-01-22 15:00:00,130.78
2011-01-22 16:00:00,131.04
2011-01-22 17:00:00,117.39
2011-01-22 18:00:00,99.3
2011-01-22 19:00:00,103.16
2011-01-22 20:00:00,80.98
2011-01-22 21:00:00,72.61
2011-01-22 22:00:00,42.75
2011-01-22 23:00:00,20.61
2011-01-23 00:00:00,35.0
2011-01-23 01:00:00,30.53
2011-01-23 02:00:00,29.33
2011-01-23 03:00:00,19.08
2011-01-23 05:00:00,4.11
2011-01-23 06:00:00,6.61
2011-01-23 07:00:00,28.18
2011-01-23 08:00:00,62.84
2011-01-23 09:00:00,87.55
2011-01-23 10:00:00,109.31
2011-01-23 11:00:00,106.78
2011-01-23 12:00:00,137.19
2011-01-23 13:00:00,139.88
2011-01-23 14:00:00,141.99
2011-01-23 15:00:00,141.66
2011-01-23 16:00:00,145.56
2011-01-23 17:00:00,129.17
2011-01-23 18:00:00,113.85
2011-01-23 19:00:00,118.46
2011-01-23 20:00:00,89.95
2011-01-23 21:00:00,72.9
2011-01-23 22:00:00,49.51
2011-01-23 23:00:00,29.72
2011-01-24 00:00:00,12.91
2011-01-24 01:00:00,6.45
2011-01-24 03:00:00,2.41
2011-01-24 04:00:00,2.15
2011-01-24 05:00:00,12.7
2011-01-24 06:00:00,48.44
2011-01-24 07:00:00,136.37
2011-01-24 08:00:00,272.68
2011-01-24 09:00:00,175.76
2011-01-24 10:00:00,110.08
2011-01-24 11:00:00,107.9
2011-01-24 12:00:00,107.41
2011-01-24 13:00:00,108.62
2011-01-24 14:00:00,108.97
2011-01-24 15:00:00,113.3
2011-01-24 16:00:00,107.56
2011-01-24 17:00:00,139.53
2011-01-24 18:00:00,135.3
2011-01-24 19:00:00,117.78
2011-01-24 20:00:00,80.32
2011-01-24 21:00:00,65.6
2011-01-24 22:00:00,39.2
2011-01-24 23:00:00,40.02
2011-01-25 00:00:00,11.3
2011-01-25 01:00:00,5.72
2011-01-25 02:00:00,2.77
2011-01-25 04:00:00,1.8
2011-01-25 05:00:00,12.63
2011-01-25 06:00:00,51.52
2011-01-25 07:00:00,128.81
2011-01-25 08:00:00,305.89
2011-01-25 09:00:00,189.34
2011-01-25 10:00:00,106.71
2011-01-25 11:00:00,106.07
2011-01-25 12:00:00,118.3
2011-01-25 13:00:00,111.86
2011-01-25 14:00:00,162.64
2011-01-25 15:00:00,164.84
2011-01-25 16:00:00,181.89
2011-01-25 17:00:00,246.44
2011-01-25 18:00:00,234.01
2011-01-25 19:00:00,181.4
2011-01-25 20:00:00,109.03
2011-01-25 21:00:00,85.74
2011-01-25 22:00:00,46.77
2011-01-25 23:00:00,30.18
2011-01-26 00:00:00,13.7
2011-01-26 01:00:00,6.26
2011-01-26 02:00:00,4.15
2011-01-26 05:00:00,9.8
2011-01-26 06:00:00,54.94
2011-01-26 07:00:00,136.4
2011-01-26 08:00:00,250.81
2011-01-26 09:00:00,153.78
2011-01-26 10:00:00,101.94
2011-01-26 11:00:00,103.12
2011-01-26 12:00:00,104.13
2011-01-26 13:00:00,107.2
2011-01-26 14:00:00,105.76
2011-01-26 15:00:00,101.52
2011-01-26 16:00:00,102.0
2011-01-26 17:00:00,149.92
2011-01-27 16:00:00,101.94
2011-01-27 17:00:00,150.38
2011-01-27 18:00:00,141.78
2011-01-27 19:00:00,121.22
2011-01-27 20:00:00,85.15
2011-01-27 21:00:00,63.63
2011-01-27 22:00:00,46.31
2011-01-27 23:00:00,33.11
2011-01-28 00:00:00,14.19
2011-01-28 01:00:00,6.93
2011-01-28 02:00:00,3.86
2011-01-28 03:00:00,3.21
2011-01-28 05:00:00,14.2
2011-01-28 06:00:00,59.19
2011-01-28 07:00:00,173.17
2011-01-28 08:00:00,303.14
2011-01-28 09:00:00,186.39
2011-01-28 10:00:00,97.54
2011-01-28 11:00:00,95.1
2011-01-28 12:00:00,96.34
2011-01-28 13:00:00,98.35
2011-01-28 14:00:00,102.59
2011-01-28 15:00:00,100.41
2011-01-28 16:00:00,95.25
2011-01-28 17:00:00,180.82
2011-01-28 18:00:00,179.64
2011-01-28 19:00:00,144.49
2011-01-28 20:00:00,108.96
2011-01-28 21:00:00,64.62
2011-01-28 22:00:00,64.06
2011-01-28 23:00:00,43.2
2011-01-29 00:00:00,38.32
2011-01-29 01:00:00,29.77
2011-01-29 02:00:00,25.4
2011-01-29 03:00:00,17.59
2011-01-29 04:00:00,4.95
2011-01-29 06:00:00,6.19
2011-01-29 07:00:00,24.16
2011-01-29 08:00:00,56.12
2011-01-29 09:00:00,73.88
2011-01-29 10:00:00,83.48
2011-01-29 11:00:00,80.54
2011-01-29 12:00:00,90.26
2011-01-29 13:00:00,95.63
2011-01-29 14:00:00,98.35
2011-01-29 15:00:00,109.7
2011-01-29 16:00:00,157.27
2011-01-29 17:00:00,132.53
2011-01-29 18:00:00,113.02
2011-01-29 19:00:00,108.95
2011-01-29 20:00:00,75.97
2011-01-29 21:00:00,61.06
